temperature_c,humidity_rh,exposure_time_h,h2s_ppm,mean_r,mean_g,mean_b,gray,hue,sat,val,data_type
45.0,20.0,1.0,5.0,179.865,169.517,158.662,171.493,15.246,30.072,179.865,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,10.0,146.779,132.462,119.972,135.405,13.684,46.615,146.779,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,25.0,115.122,101.245,89.879,104.134,13.286,56.198,115.122,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,50.0,100.98,91.691,82.742,93.549,16.863,50.737,101.062,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,100.0,86.712,79.673,74.776,81.059,15.401,45.32,86.805,SIMULATED_FROM_REFERENCE_IMAGE
45.0,20.0,1.0,400.0,54.754,51.673,50.146,52.392,33.076,37.989,54.78,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,0.0,238.232,231.194,221.421,232.22,17.735,17.851,238.232,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,1.0,213.879,205.419,195.739,207.016,15.952,21.617,213.879,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,3.0,190.156,177.481,164.236,179.858,15.13,34.774,190.156,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,5.0,170.189,154.816,141.269,157.823,13.909,43.405,170.189,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,10.0,134.332,118.204,105.244,121.417,13.09,55.272,134.332,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,25.0,108.696,94.65,82.815,97.578,13.469,61.114,108.696,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,50.0,96.591,85.012,76.315,87.56,17.45,59.52,96.647,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,100.0,83.405,75.535,71.069,77.279,16.647,49.65,83.462,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,1.0,400.0,52.302,49.335,47.986,50.052,36.97,38.735,52.335,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,0.0,237.619,229.387,216.656,230.469,18.372,22.554,237.619,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,1.0,217.518,208.882,196.438,210.161,17.767,24.748,217.518,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,3.0,191.41,178.956,165.0,181.154,15.714,35.197,191.41,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,5.0,167.531,151.546,137.232,154.597,14.274,46.171,167.531,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,10.0,137.233,120.869,107.793,124.103,13.072,54.746,137.233,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,25.0,110.367,96.4,84.445,99.304,13.579,60.178,110.367,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,50.0,97.692,86.149,77.399,88.689,15.17,58.639,97.776,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,100.0,83.001,75.163,71.585,77.136,12.746,45.782,83.079,SIMULATED_FROM_REFERENCE_IMAGE
45.0,90.0,1.0,400.0,52.924,49.884,48.018,50.531,17.34,42.217,52.982,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,0.0,239.812,232.638,221.222,233.273,18.32,19.657,239.812,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,1.0,220.93,212.506,203.088,214.173,15.904,20.661,220.93,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,3.0,202.846,193.51,183.055,195.2,15.722,24.891,202.846,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,5.0,188.202,177.333,166.496,179.393,14.879,29.404,188.202,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,10.0,157.184,144.615,134.944,147.356,12.827,36.109,157.184,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,25.0,131.327,120.06,109.934,122.354,14.128,41.718,131.327,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,50.0,107.183,97.976,90.393,99.96,14.493,43.722,107.227,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,100.0,91.778,83.463,80.685,85.733,11.978,38.885,91.833,SIMULATED_FROM_REFERENCE_IMAGE
60.0,20.0,1.0,400.0,61.143,56.927,55.472,57.979,12.6,38.105,61.143,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,0.0,236.631,229.796,219.956,230.714,17.924,17.794,236.631,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,1.0,214.087,207.556,199.38,208.471,16.731,17.532,214.087,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,3.0,192.595,184.356,176.802,185.999,14.351,20.927,192.595,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,5.0,170.704,162.621,156.017,164.279,13.536,21.988,170.704,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,10.0,143.139,134.136,127.27,136.059,13.018,28.309,143.139,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,25.0,118.067,109.774,102.399,111.434,14.154,34.025,118.067,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,50.0,99.464,93.546,88.407,94.614,17.684,31.764,99.581,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,100.0,85.355,78.504,75.394,80.123,13.654,39.221,85.444,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,1.0,400.0,54.981,50.787,49.543,51.879,11.702,46.361,55.0,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,0.0,235.28,228.791,219.707,229.626,17.649,16.752,235.28,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,1.0,212.279,206.445,198.519,207.2,17.339,16.535,212.279,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,3.0,184.958,179.398,173.371,180.382,15.46,15.939,184.958,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,5.0,163.121,157.021,152.325,158.222,12.881,16.905,163.121,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,10.0,134.972,127.79,122.119,129.075,13.311,24.33,134.972,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,25.0,110.048,104.023,97.852,105.023,15.14,28.412,110.049,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,50.0,96.978,92.429,88.309,93.315,15.604,25.582,97.026,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,100.0,86.559,79.999,77.615,81.62,14.216,34.543,86.616,SIMULATED_FROM_REFERENCE_IMAGE
60.0,90.0,1.0,400.0,52.452,50.173,48.537,50.619,28.468,35.114,52.456,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,0.0,235.83,230.811,222.634,231.307,18.638,14.199,235.83,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,1.0,216.656,211.27,204.407,212.115,16.597,14.422,216.656,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,3.0,187.706,182.191,176.133,183.186,15.487,15.735,187.706,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,5.0,162.508,154.012,147.996,155.743,12.554,22.797,162.508,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,10.0,129.675,119.421,113.727,122.035,10.974,31.422,129.675,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,25.0,109.738,102.655,97.94,104.016,11.837,27.573,109.738,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,50.0,96.533,91.827,88.214,92.781,14.608,24.657,96.6,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,100.0,85.874,80.724,77.909,81.845,14.023,30.859,85.957,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,6.0,400.0,55.098,53.324,52.102,53.727,50.218,26.568,55.133,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,0.0,235.681,229.488,220.455,230.233,18.105,16.352,235.681,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,1.0,211.82,204.344,195.491,205.605,16.413,19.666,211.82,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,3.0,181.375,172.427,165.315,174.377,13.267,22.583,181.375,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,5.0,158.122,145.718,137.571,148.57,11.655,33.15,158.122,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,10.0,124.748,112.825,105.464,115.653,11.261,39.478,124.748,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,25.0,99.655,90.736,85.74,92.758,10.979,35.898,99.655,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,50.0,90.293,83.486,80.307,85.114,12.613,32.01,90.398,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,100.0,78.591,73.703,70.97,74.756,15.136,34.075,78.69,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,6.0,400.0,53.346,51.558,50.22,51.948,45.626,28.421,53.373,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,0.0,235.258,228.378,219.174,229.315,17.29,17.31,235.258,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,1.0,204.483,196.125,186.188,197.547,16.164,22.856,204.483,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,3.0,172.965,161.542,152.35,164.004,13.234,30.403,172.965,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,5.0,150.749,137.475,128.501,140.416,12.015,37.661,150.749,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,10.0,121.154,109.827,103.488,112.664,10.812,37.201,121.154,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,25.0,97.32,87.487,82.719,89.936,9.779,38.519,97.32,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,50.0,85.077,78.63,75.453,80.156,13.323,33.102,85.177,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,100.0,76.789,71.324,68.918,72.563,15.313,36.031,76.857,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,6.0,400.0,52.788,50.584,48.944,51.012,26.441,33.521,52.792,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,0.0,235.586,228.922,219.776,229.827,17.604,17.003,235.586,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,1.0,204.698,196.073,186.615,197.768,15.599,22.562,204.698,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,3.0,172.478,162.295,153.301,164.366,13.882,28.426,172.478,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,5.0,150.146,138.259,129.83,140.888,12.214,34.547,150.146,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,10.0,120.635,110.305,105.68,112.963,9.362,31.676,120.635,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,25.0,98.959,90.164,85.196,92.137,10.984,35.727,98.959,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,50.0,85.282,80.509,76.784,81.471,15.675,29.093,85.351,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,100.0,76.111,71.188,68.685,72.259,16.501,34.81,76.177,SIMULATED_FROM_REFERENCE_IMAGE
25.0,50.0,24.0,400.0,53.111,51.098,49.909,51.568,51.791,28.36,53.129,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,0.0,235.378,228.479,218.162,229.346,18.188,18.577,235.378,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,1.0,211.058,203.443,194.321,204.727,16.463,20.227,211.058,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,3.0,176.779,167.433,160.081,169.52,13.144,24.113,176.779,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,5.0,152.568,140.782,132.914,143.537,11.908,32.848,152.568,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,10.0,122.371,112.874,108.492,115.218,9.469,28.989,122.371,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,25.0,99.83,91.601,87.584,93.535,9.812,31.548,99.83,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,50.0,84.612,79.973,76.132,80.874,15.164,29.389,84.674,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,100.0,76.209,70.471,68.027,71.815,14.053,37.711,76.279,SIMULATED_FROM_REFERENCE_IMAGE
45.0,50.0,24.0,400.0,53.986,51.002,49.795,51.733,29.604,36.71,54.012,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,0.0,230.078,222.94,212.888,223.968,17.838,19.173,230.078,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,1.0,206.892,199.549,191.287,200.727,15.933,19.24,206.892,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,3.0,171.733,166.625,161.983,167.623,13.85,14.498,171.733,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,5.0,149.334,142.167,138.761,143.853,9.674,18.048,149.334,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,10.0,123.21,116.286,113.113,117.941,9.482,20.909,123.21,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,25.0,93.759,88.89,85.266,89.863,12.476,23.259,93.759,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,50.0,81.433,77.573,74.768,78.462,18.065,24.57,81.561,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,100.0,73.599,68.815,66.192,69.822,12.776,36.472,73.653,SIMULATED_FROM_REFERENCE_IMAGE
60.0,50.0,24.0,400.0,49.379,47.394,46.053,47.836,44.476,34.121,49.381,SIMULATED_FROM_REFERENCE_IMAGE
